date,product_category,product_name,quantity,unit_price,total_amount,customer_age,customer_region,payment_method,rating
2024-01-04,Electronics,Wireless Earbuds,2,72.97,145.94,42,North,Debit Card,2.1
2024-01-14,Electronics,Wireless Earbuds,5,79.97,399.85,72,West,Credit Card,4.1
2024-01-15,Clothing,Winter Scarf,8,20.85,166.8,60,East,Debit Card,4.9
2024-01-21,Home,LED Desk Lamp,5,35.67,178.35,44,East,Debit Card,3.7
2024-01-21,Books,Art Photography,9,27.56,248.04,31,East,Cash,4.9
2024-01-23,Clothing,Winter Scarf,3,15.78,47.34,48,East,Cash,4.9
2024-01-30,Electronics,USB-C Hub,9,22.27,200.43,32,West,Credit Card,4.4
2024-01-31,Clothing,Denim Jacket,8,85.58,684.64,18,West,PayPal,2.7
2024-02-05,Books,Sci-Fi Novel,9,13.93,125.37,52,West,Debit Card,2.1
2024-02-05,Home,Plant Pot Set,10,17.99,179.9,61,West,Debit Card,3.3
2024-02-11,Electronics,Bluetooth Speaker,7,29.81,208.67,25,East,PayPal,3.2
2024-02-14,Clothing,Winter Scarf,7,18.54,129.78,46,North,PayPal,1.1
2024-02-17,Clothing,Winter Scarf,3,24.2,72.6,71,West,Cash,4.7
2024-02-24,Sports,Dumbbell Set,1,61.07,61.07,32,North,Debit Card,4.7
2024-02-25,Clothing,Running Shoes,4,90.1,360.4,30,South,Credit Card,2.8
2024-02-25,Clothing,Running Shoes,8,57.95,463.6,20,West,PayPal,2.2
2024-02-27,Electronics,Wireless Earbuds,10,71.72,717.2,65,West,Debit Card,3.7
2024-03-03,Home,LED Desk Lamp,8,60.5,484.0,69,South,Cash,4.3
2024-03-05,Home,Scented Candle,9,27.15,244.35,55,South,Cash,4.7
2024-03-09,Clothing,Hiking Boots,5,65.53,327.65,74,North,Debit Card,3.9
2024-03-20,Books,Sci-Fi Novel,1,15.92,15.92,33,West,Debit Card,3.9
2024-03-20,Electronics,Webcam HD,9,87.63,788.67,55,South,Cash,4.8
2024-03-22,Sports,Resistance Bands,2,28.42,56.84,39,South,Cash,1.4
2024-03-24,Clothing,Yoga Pants,2,57.46,114.92,31,East,Debit Card,3.1
2024-03-24,Books,Cookbook,7,26.51,185.57,24,East,Cash,4.8
2024-03-30,Home,Kitchen Scale,8,20.67,165.36,59,South,Credit Card,2.9
2024-04-03,Electronics,Mechanical Keyboard,7,83.74,586.18,29,North,PayPal,4.0
2024-04-03,Home,Kitchen Scale,10,19.14,191.4,40,West,PayPal,3.2
2024-04-11,Electronics,Smartphone Case,5,23.93,119.65,47,East,Credit Card,4.2
2024-04-14,Sports,Jump Rope,1,12.19,12.19,72,South,Credit Card,3.5
2024-04-19,Home,French Press,2,19.23,38.46,68,West,PayPal,3.1
2024-04-26,Clothing,Denim Jacket,2,46.71,93.42,60,North,PayPal,2.4
2024-05-05,Electronics,Bluetooth Speaker,1,76.34,76.34,29,West,Debit Card,4.3
2024-05-15,Sports,Resistance Bands,9,16.37,147.33,58,East,Debit Card,3.6
2024-05-16,Books,Cookbook,10,26.89,268.9,22,North,PayPal,2.8
2024-05-20,Electronics,USB-C Hub,2,56.9,113.8,19,South,Credit Card,3.3
2024-05-21,Electronics,Laptop Stand,8,24.84,198.72,28,North,Cash,3.2
2024-05-29,Home,Plant Pot Set,9,45.38,408.42,35,South,Debit Card,2.5
2024-05-30,Clothing,Hiking Boots,3,91.2,273.6,45,North,Debit Card,1.7
2024-06-01,Books,Sci-Fi Novel,3,11.36,34.08,50,East,Credit Card,3.4
2024-06-03,Home,Kitchen Scale,10,17.61,176.1,71,North,PayPal,2.9
2024-06-04,Sports,Jump Rope,7,14.78,103.46,35,South,PayPal,3.4
2024-06-09,Clothing,Yoga Pants,6,31.99,191.94,43,North,Credit Card,1.0
2024-06-10,Home,LED Desk Lamp,6,46.28,277.68,22,North,Debit Card,3.6
2024-06-10,Electronics,USB-C Hub,8,27.65,221.2,34,West,PayPal,3.9
2024-06-13,Sports,Jump Rope,5,15.7,78.5,72,North,Cash,4.3
2024-06-16,Home,Throw Blanket,7,36.81,257.67,36,East,Debit Card,3.5
2024-06-18,Sports,Dumbbell Set,9,83.99,755.91,60,West,PayPal,3.7
2024-06-19,Sports,Dumbbell Set,5,78.63,393.15,44,West,Debit Card,4.1
2024-06-19,Home,Kitchen Scale,4,41.63,166.52,52,South,Cash,1.9
2024-06-23,Electronics,Laptop Stand,9,61.56,554.04,31,South,Credit Card,4.5
2024-06-25,Sports,Foam Roller,4,19.88,79.52,38,South,PayPal,1.2
2024-06-30,Home,Scented Candle,2,19.44,38.88,47,West,Credit Card,2.6
2024-07-07,Home,French Press,8,33.65,269.2,51,South,PayPal,4.4
2024-07-14,Sports,Foam Roller,5,19.24,96.2,33,South,Cash,4.6
2024-07-18,Books,Art Photography,4,54.63,218.52,71,South,Cash,1.9
2024-07-21,Books,Cookbook,9,22.21,199.89,59,South,PayPal,4.0
2024-07-24,Home,Scented Candle,10,10.57,105.7,54,East,PayPal,4.1
2024-07-31,Electronics,Wireless Earbuds,7,91.26,638.82,60,South,Cash,1.0
2024-08-01,Sports,Foam Roller,8,21.36,170.88,68,East,PayPal,4.4
2024-08-03,Clothing,Yoga Pants,6,54.04,324.24,23,South,Debit Card,3.6
2024-08-04,Books,Art Photography,5,30.02,150.1,52,West,Cash,5.0
2024-08-07,Books,Sci-Fi Novel,1,14.07,14.07,43,South,Credit Card,4.4
2024-08-07,Clothing,Yoga Pants,4,23.96,95.84,57,North,Debit Card,3.5
2024-08-10,Books,Python Programming,5,33.3,166.5,66,East,Credit Card,1.2
2024-08-28,Home,Scented Candle,8,12.28,98.24,39,North,Credit Card,4.3
2024-09-05,Electronics,Bluetooth Speaker,5,78.22,391.1,73,East,Credit Card,3.2
2024-09-07,Electronics,Laptop Stand,4,27.17,108.68,69,West,Credit Card,1.3
2024-09-07,Electronics,Portable Charger,7,39.75,278.25,72,East,Debit Card,3.9
2024-09-08,Home,Throw Blanket,4,36.17,144.68,19,North,PayPal,3.7
2024-09-12,Sports,Water Bottle,5,17.33,86.65,66,North,Cash,4.5
2024-09-16,Clothing,Denim Jacket,8,97.57,780.56,18,South,Debit Card,2.8
2024-09-17,Sports,Water Bottle,7,21.13,147.91,26,West,PayPal,4.7
2024-09-21,Books,Self-Help Guide,4,14.88,59.52,23,North,Cash,3.6
2024-09-23,Books,Art Photography,4,43.42,173.68,52,East,PayPal,2.7
2024-09-23,Home,Scented Candle,6,23.08,138.48,33,South,PayPal,4.6
2024-09-25,Home,Kitchen Scale,3,17.99,53.97,24,West,PayPal,1.1
2024-09-30,Electronics,Wireless Earbuds,7,34.19,239.33,30,East,Debit Card,4.5
2024-10-03,Electronics,Portable Charger,8,23.49,187.92,70,East,Debit Card,1.4
2024-10-07,Clothing,Winter Scarf,4,16.74,66.96,28,East,PayPal,4.1
2024-10-08,Electronics,Wireless Earbuds,4,100.82,403.28,43,South,Cash,3.8
2024-10-08,Electronics,Smartphone Case,2,34.7,69.4,20,South,Cash,3.7
2024-10-09,Electronics,Portable Charger,9,28.86,259.74,18,South,Credit Card,3.7
2024-10-11,Home,Kitchen Scale,1,17.78,17.78,49,North,Credit Card,4.0
2024-10-15,Books,History Book,2,22.52,45.04,22,South,Debit Card,4.7
2024-10-15,Books,Cookbook,10,18.35,183.5,47,East,Credit Card,4.1
2024-10-16,Sports,Dumbbell Set,6,62.73,376.38,40,South,Credit Card,4.4
2024-11-01,Electronics,Laptop Stand,3,49.12,147.36,29,West,PayPal,4.1
2024-11-04,Electronics,Webcam HD,6,43.22,259.32,24,East,Credit Card,4.0
2024-11-05,Electronics,Smartphone Case,6,34.62,207.72,19,South,PayPal,3.3
2024-11-08,Sports,Dumbbell Set,7,80.25,561.75,22,South,Cash,4.4
2024-11-16,Sports,Foam Roller,5,15.35,76.75,66,South,Debit Card,4.0
2024-11-20,Home,Throw Blanket,4,46.9,187.6,23,West,Debit Card,5.0
2024-11-23,Electronics,USB-C Hub,3,49.45,148.35,52,North,Cash,3.5
2024-11-28,Electronics,Bluetooth Speaker,10,48.85,488.5,66,South,Debit Card,3.4
2024-11-29,Electronics,Wireless Earbuds,4,61.06,244.24,18,North,Cash,3.7
2024-11-29,Electronics,Portable Charger,6,39.55,237.3,58,South,PayPal,4.4
2024-12-13,Books,Python Programming,3,30.35,91.05,52,South,PayPal,1.2
2024-12-26,Electronics,Smartphone Case,8,27.1,216.8,44,West,PayPal,2.8
2024-12-26,Electronics,Wireless Earbuds,6,63.38,380.28,74,West,Credit Card,4.8
